Respondents,European,Canadian,Japanese,6.19,5.49,4.79,Rich full bodied,Regular,Crisp and clear,Strong,Mild,Very mild,Full,Regular,Low,Six 12Oz Large,Six 12Oz Small,Four 16Oz,Green Label,Brown Label,Brown Painted
5543,15,8,0,0,3,5,9,0,19,9,24,0,16,0,3,8,0,8,14,0,6
2062,19,13,0,5,0,5,35,0,6,0,0,1,5,0,14,0,0,5,0,20,11
4841,21,7,0,0,2,4,9,0,17,1,6,0,0,22,9,9,6,0,0,12,21
5839,19,0,9,1,1,0,22,0,11,0,22,8,22,0,8,12,0,7,0,1,3
7308,13,4,0,0,20,0,29,0,18,0,4,4,3,6,0,0,24,8,4,0,4
4956,7,5,0,9,9,0,8,0,14,16,22,0,21,0,8,19,0,15,4,0,9
6551,24,0,17,31,0,8,3,2,0,1,8,0,6,0,2,0,12,1,3,16,0
6312,14,0,7,0,0,1,24,0,12,0,21,5,21,0,8,16,0,11,2,0,3
1696,13,0,12,1,0,1,8,0,24,0,20,20,22,0,25,11,1,0,7,5,0
5856,13,5,0,19,8,0,5,0,9,0,9,12,7,0,28,16,0,12,3,0,0
2403,0,10,18,0,11,21,3,0,10,0,12,0,0,12,7,11,0,16,7,0,12
7413,14,0,11,0,10,11,5,0,10,0,25,14,24,1,0,14,0,4,2,0,3
5400,0,4,10,0,3,20,4,0,18,0,18,0,0,7,11,16,0,12,7,0,5
1176,4,0,13,7,0,12,5,0,16,10,17,0,5,0,12,6,0,16,11,0,13
1595,0,3,3,0,0,15,44,0,11,4,11,0,6,6,0,6,0,9,10,0,8
717,19,0,13,0,2,5,0,5,14,0,25,13,20,5,0,12,0,2,0,2,5
574,18,0,23,0,5,5,0,4,4,9,4,0,0,35,26,3,0,1,0,18,20
2523,8,0,10,0,16,7,8,0,10,6,0,7,3,15,0,35,21,0,8,0,0
5035,18,0,13,0,0,6,4,0,8,0,26,14,27,0,8,10,0,4,4,4,0
3154,17,0,12,2,3,0,8,0,16,2,22,0,20,0,10,19,0,8,2,0,4
2029,10,0,13,0,2,0,23,0,8,0,18,10,30,0,13,12,0,6,3,2,0
4262,19,3,0,0,20,19,0,4,2,0,9,0,5,0,4,14,0,2,0,29,26
7134,6,1,0,12,5,0,13,0,21,14,23,0,20,0,13,10,0,12,2,0,6
489,0,2,1,15,18,0,30,3,0,0,15,9,11,9,0,0,0,6,18,0,10
6674,17,0,20,4,5,0,12,0,10,0,18,4,17,0,10,23,0,12,4,0,3
6550,17,1,0,12,8,0,13,0,7,0,14,12,4,0,27,13,0,8,3,4,0
7415,0,24,26,4,3,0,23,0,4,0,9,16,5,15,0,0,3,4,5,0,13
2009,13,0,19,0,18,2,1,1,0,0,11,2,0,18,15,9,0,3,0,22,24
6423,0,0,2,0,13,10,0,1,4,3,11,0,0,34,16,0,3,6,0,20,30
4195,0,1,8,7,10,0,18,0,3,8,16,0,32,0,10,12,0,10,0,3,3
1232,16,7,0,0,4,9,15,0,16,0,26,11,22,5,0,5,0,1,4,0,5
6831,32,0,20,0,7,3,0,3,11,2,16,0,0,8,5,10,0,1,0,16,16
2054,4,12,0,0,16,8,6,0,25,0,9,12,0,3,26,0,1,4,4,0,5
985,10,29,0,2,0,7,2,4,0,7,0,3,0,12,15,0,15,24,0,8,15
708,12,0,8,6,6,0,38,0,4,0,3,11,0,13,9,7,0,8,3,0,12
4670,8,0,11,0,23,9,5,0,7,1,4,0,0,21,4,18,0,16,0,17,12
6351,0,9,3,0,13,9,18,0,6,0,2,5,0,7,27,9,0,18,0,4,11
2013,19,0,13,0,9,3,4,0,15,4,15,0,0,10,1,13,0,1,0,10,18
6316,21,0,8,0,2,13,9,0,9,0,22,17,21,0,3,11,0,2,0,2,2
7124,0,0,4,0,1,4,37,0,0,0,8,14,0,14,9,6,0,11,15,0,11
2569,0,13,27,3,9,0,0,5,0,17,0,20,0,15,29,3,0,7,4,0,2
1676,25,31,0,0,10,11,7,0,13,0,13,13,10,2,0,1,7,0,0,10,15
6237,15,24,0,0,13,17,17,0,9,0,10,19,15,0,0,2,2,0,4,0,7
2936,8,0,18,0,16,0,3,0,10,0,6,0,0,10,12,13,0,5,0,19,25
3666,21,0,5,0,0,2,3,0,14,0,22,10,17,8,0,17,2,0,0,1,6
6669,19,32,0,0,5,8,16,0,11,0,11,4,0,8,6,0,7,12,0,3,14
2857,8,17,0,0,7,14,12,0,8,0,10,10,0,13,5,0,9,2,0,21,25
5855,20,26,0,0,8,12,25,0,6,0,14,17,4,2,0,0,8,9,0,1,8
2474,2,5,0,0,2,8,23,0,5,0,6,14,0,8,0,20,0,17,0,3,22
3617,7,0,13,12,12,0,10,0,14,0,18,17,0,0,21,17,0,0,3,4,0
1324,7,0,11,3,0,4,9,0,20,8,27,0,16,0,4,16,0,12,6,0,5
6221,4,0,9,0,11,9,0,0,12,0,9,1,28,3,0,13,1,0,17,12,0
1283,19,0,6,14,5,0,3,0,9,0,9,5,8,0,25,18,0,8,0,5,1
3212,20,0,15,0,0,4,2,0,11,0,17,7,23,0,9,23,0,6,0,1,0
7355,1,0,3,13,0,37,11,4,0,0,16,4,6,4,0,0,10,24,0,4,1
3225,3,5,0,15,0,18,0,13,6,14,0,15,8,22,0,5,0,14,0,5,12
6817,21,19,0,0,1,14,10,0,10,0,22,25,15,3,0,2,6,0,0,7,8
6858,0,14,0,0,13,8,8,0,11,0,4,0,0,17,3,0,18,16,22,0,23
6970,10,1,0,13,9,0,5,0,14,0,9,1,0,3,34,20,0,15,0,0,1
4420,19,0,19,9,11,0,0,8,17,5,0,0,3,0,15,0,9,21,0,11,8
3762,0,15,19,0,20,19,0,11,5,0,9,13,0,16,17,1,0,10,0,4,10
4545,12,0,13,0,11,1,0,11,10,0,0,6,8,14,0,37,16,0,7,2,0
2459,0,8,2,0,29,20,3,0,10,0,9,5,6,0,2,23,0,14,7,0,14
3842,16,0,14,0,1,9,9,0,13,0,29,11,21,2,0,10,0,1,1,1,0
7165,15,0,7,0,7,0,11,0,19,0,17,1,15,0,10,22,0,3,4,0,1
2687,3,0,9,0,20,13,0,0,8,0,13,2,0,19,11,12,0,7,0,9,18
2819,13,0,24,0,13,3,0,0,2,6,6,0,0,15,12,13,0,7,0,21,27
5429,0,13,9,0,9,16,6,0,13,0,20,13,0,17,9,2,0,7,7,0,12
7501,8,0,10,34,0,17,0,0,10,7,0,6,0,17,3,9,18,0,5,4,0
1733,22,0,14,11,4,0,9,0,8,0,20,9,20,0,4,6,1,0,0,13,9
6641,6,5,0,6,5,0,49,0,18,2,17,0,13,0,2,0,8,6,2,0,0
4323,11,7,0,1,0,4,45,0,15,0,11,10,0,7,14,8,5,0,0,8,7
4653,16,0,5,4,0,3,13,0,14,0,22,11,0,1,14,23,0,8,0,6,7
4091,19,5,0,4,13,0,5,0,6,0,15,10,5,0,28,8,0,1,0,12,3
206,10,19,0,0,11,15,19,0,10,5,6,0,0,16,17,5,0,3,0,14,20
4459,0,4,10,0,17,14,2,0,6,11,17,0,0,18,10,13,0,14,0,6,18
2708,12,0,14,6,1,0,17,0,23,2,20,0,22,0,2,6,0,7,0,1,8
6189,0,17,1,0,5,0,7,13,0,23,0,4,0,28,25,0,10,13,0,0,2
3535,12,0,10,11,0,11,0,5,20,7,16,0,22,0,11,12,0,3,7,5,0
599,19,0,4,16,6,0,21,4,0,0,3,5,11,0,6,0,17,8,0,11,0
385,1,5,0,4,0,2,34,4,0,14,5,0,0,24,25,9,0,2,9,2,0
2128,7,7,0,0,8,9,5,0,17,6,22,0,15,3,0,15,0,9,14,0,9
6225,5,0,4,7,0,11,35,0,18,0,5,10,6,0,13,6,0,15,7,0,10
903,16,0,10,0,3,0,24,0,31,0,20,20,16,0,23,1,0,0,0,3,4
4743,24,0,13,5,0,1,7,0,10,0,15,11,28,0,21,9,0,1,2,9,0
7191,0,23,2,0,20,15,0,2,8,0,2,17,1,0,10,0,2,7,0,8,16
6352,18,0,7,2,0,2,16,0,18,0,23,10,15,0,1,20,0,3,1,0,5
6881,9,11,0,10,0,16,0,6,11,0,17,18,0,14,1,15,0,10,0,1,16
4967,5,0,1,0,8,6,6,0,19,3,11,0,0,8,39,9,0,10,0,7,4
4762,25,0,30,5,0,4,0,3,4,15,16,0,25,0,9,14,0,12,0,6,3
1730,0,10,16,8,16,0,3,8,0,12,0,5,0,10,23,0,5,13,0,12,12
5913,22,0,14,1,0,2,4,0,9,15,22,0,20,0,4,19,0,13,6,0,3
298,0,21,3,4,5,0,0,6,2,19,0,13,0,24,29,0,9,14,4,0,6
7192,0,14,13,0,5,21,1,0,8,6,11,0,0,20,12,8,0,14,13,0,10
3483,12,0,0,8,0,9,6,0,5,0,24,8,26,0,9,9,0,10,13,2,0
5862,17,0,9,0,7,3,23,0,8,0,19,11,22,0,3,10,0,2,0,1,2
2997,0,0,11,7,0,11,0,22,23,12,0,8,4,0,20,16,0,5,0,8,0
5698,15,0,0,1,0,4,0,1,13,0,20,9,21,7,0,22,4,0,0,3,5
2052,12,0,10,0,6,8,2,0,16,0,23,4,16,0,8,20,0,2,5,3,0
5481,3,0,12,0,9,12,43,0,24,0,20,15,1,0,2,0,5,4,3,0,5
3733,24,0,17,1,0,4,12,0,11,0,21,13,18,2,0,18,0,2,0,1,3
5353,15,0,0,6,0,0,41,0,3,0,3,3,0,11,11,10,1,0,0,12,13
2787,21,19,0,0,8,7,11,0,12,0,24,21,10,4,0,9,19,0,0,5,1
662,21,0,11,0,11,5,9,0,13,0,14,1,0,10,6,16,2,0,0,13,16
4136,21,0,12,0,6,4,15,0,7,0,21,3,15,3,0,12,0,2,10,0,0
7304,12,0,15,0,6,3,10,0,16,0,17,4,27,0,17,11,2,0,9,8,0
4626,26,0,14,0,2,6,5,0,10,0,25,13,18,0,0,14,0,3,1,0,1
5450,2,2,0,0,11,2,4,0,12,0,9,1,0,15,35,21,0,8,0,8,9
5628,15,0,14,0,19,9,2,0,10,0,16,4,1,8,0,14,0,1,0,12,18
4295,3,0,13,0,13,6,7,0,6,6,6,0,0,25,24,7,0,9,0,20,27
6612,14,0,12,1,0,2,25,0,11,0,18,4,26,0,12,14,0,10,0,0,1
6013,16,0,11,17,11,0,21,0,6,5,11,0,0,14,12,17,0,1,0,2,4
3614,21,0,17,0,5,10,4,0,15,0,28,18,14,0,0,12,1,0,0,0,0
5045,24,0,14,0,11,1,11,0,11,0,9,2,0,10,4,15,0,1,0,13,20
4794,3,0,8,11,0,5,29,0,7,0,19,12,22,0,9,0,3,0,3,8,0
4424,2,0,10,5,0,7,12,4,0,6,0,0,14,0,21,0,18,36,7,2,0
6373,11,20,0,20,0,8,0,23,14,0,5,2,5,0,4,12,0,6,16,2,0
1712,27,0,34,0,3,0,23,0,4,16,0,3,4,0,7,13,7,0,1,4,0
4421,13,26,0,0,16,12,8,0,21,0,3,2,8,0,8,11,4,0,0,15,5
6575,8,0,9,0,2,2,11,0,12,13,22,0,27,0,9,15,0,10,0,13,13
4498,12,0,6,0,11,5,15,0,5,0,5,6,0,15,20,15,0,5,0,17,21
5406,8,0,7,5,9,0,12,0,19,0,19,10,5,0,19,17,0,6,0,8,9
7519,20,0,20,2,0,10,11,0,2,0,15,10,25,0,4,11,0,1,8,6,0
2204,19,0,12,10,3,0,19,0,6,0,16,4,13,0,10,4,0,4,0,18,14
7169,15,0,16,28,0,11,12,0,0,2,8,0,3,0,4,0,14,2,6,17,0
73,16,1,0,13,12,0,4,0,5,0,11,7,0,0,27,24,0,9,3,4,0
5719,14,0,5,6,0,2,24,0,14,0,23,6,17,0,4,10,0,8,6,0,4
5832,26,0,16,0,2,0,7,0,13,0,23,13,16,0,14,18,0,6,2,1,0
7172,10,0,16,12,0,9,9,0,13,0,24,0,25,1,0,7,0,1,3,3,0
5803,17,0,8,1,7,0,10,0,15,0,23,9,12,0,7,18,0,2,0,7,9
4382,21,0,8,4,10,0,14,0,13,0,17,2,18,0,12,14,0,7,0,4,5
7388,12,0,7,0,6,2,10,0,16,0,16,20,30,0,13,5,0,2,11,0,3
5794,17,3,0,10,7,0,1,0,13,0,15,6,13,0,30,11,0,12,1,3,0
3011,24,5,0,0,2,5,18,0,12,0,12,3,13,0,19,19,0,5,0,4,1
7189,1,3,0,15,0,29,7,0,19,12,19,0,0,14,5,0,12,11,3,0,1
2587,29,0,23,21,0,6,5,0,2,0,9,0,0,5,7,6,12,0,0,18,4
4908,0,0,2,12,9,0,18,0,1,12,14,0,0,7,1,29,0,23,5,0,17
879,8,0,1,0,14,13,11,0,11,0,13,3,19,0,4,25,0,14,9,0,10
6291,8,0,16,3,1,0,16,7,0,12,21,0,18,0,6,12,0,12,12,5,0
6148,24,0,18,0,0,1,8,0,9,0,28,12,24,0,0,10,1,0,2,4,0
2932,0,9,7,0,19,26,14,0,7,11,19,0,1,10,0,5,0,13,8,0,10
5786,11,0,1,0,6,6,37,0,18,0,16,5,10,0,12,11,0,4,0,6,7
7128,17,0,29,14,1,0,10,0,7,15,22,0,0,16,9,6,0,2,0,3,2
997,19,0,13,11,3,0,18,0,21,0,17,3,10,0,19,12,0,5,1,2,0
984,16,0,10,2,0,3,24,0,10,0,17,6,22,0,0,7,0,9,0,3,9
6702,25,0,15,0,1,12,0,1,10,0,17,11,18,0,1,12,5,0,3,5,0
3974,16,0,13,3,0,7,17,0,7,0,19,8,25,0,10,13,0,9,3,2,0
3970,4,0,4,11,0,6,0,4,15,0,26,2,0,3,25,2,0,13,2,6,0
5633,0,5,19,0,16,26,14,13,0,0,2,9,0,22,10,0,1,2,7,1,0
7180,30,23,0,15,0,23,5,0,10,1,0,2,0,10,0,12,10,0,14,0,1
3214,19,0,16,10,0,9,22,0,18,0,6,2,4,0,13,4,0,7,0,22,23
7469,21,0,14,2,0,5,8,0,8,0,29,15,23,3,0,9,6,0,2,5,0
381,30,0,24,6,4,0,9,0,0,13,18,0,19,0,5,0,0,7,0,12,7
4196,25,0,5,7,10,0,6,0,11,0,1,2,0,14,23,11,0,0,0,18,13
5619,1,0,11,0,6,4,40,2,0,4,0,2,15,0,1,14,0,14,0,1,9
7500,2,0,1,11,3,0,9,0,9,0,6,11,9,0,27,35,0,9,5,2,0
6071,18,9,0,19,14,0,1,0,6,0,21,4,4,0,6,24,0,14,6,0,3
2319,0,11,10,5,0,0,0,16,7,22,0,10,0,8,13,7,0,17,16,0,8
6145,1,4,0,1,0,4,17,0,3,7,15,0,0,32,45,0,3,10,1,5,0
3460,9,0,17,0,19,7,0,2,5,0,13,9,0,16,15,9,0,4,0,18,22
5456,4,0,6,9,0,6,0,7,8,29,22,0,10,4,0,13,16,0,22,17,0
